variant,workload,workload_short,poolSize,concurrency,server_side_compute_mean,server_side_queuewait_mean,network_overhead_ms,server_latency_mean,client_latency_mean,is_worker,rest_ms
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,1.0,4633.67,0.0,22.827,4635.484,4658.311,True,1.814
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,2.0,4575.039,4561.598,29.589,8005.85,8035.439,True,-1130.787
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,4.0,4619.541,10390.118,27.983,13875.947,13903.93,True,-1133.712
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,8.0,4606.841,20135.914,41.655,23966.841,24008.496,True,-775.914
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,1.0,16.0,4603.283,38800.507,78.751,42997.437,43076.189,True,-406.353
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,4.0,1.0,4591.977,0.0,20.433,4597.896,4618.329,True,5.92
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,4.0,4.0,7724.775,0.0,25.881,7611.52,7637.4,True,-113.255
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,4.0,8.0,7546.785,7420.537,37.721,12566.099,12603.819,True,-2401.223
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,4.0,16.0,7914.114,16830.522,77.514,22166.309,22243.824,True,-2578.326
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,8.0,1.0,4604.261,0.0,21.52,4610.466,4631.987,True,6.206
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,8.0,4.0,7510.569,0.0,26.404,7352.804,7379.209,True,-157.765
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,8.0,8.0,7970.563,0.0,34.633,8014.699,8049.332,True,44.136
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,8.0,16.0,7967.863,7952.868,69.792,13308.902,13378.694,True,-2611.829
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,1.0,4617.582,0.0,20.932,4624.279,4645.211,True,6.697
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,4.0,7007.069,0.0,25.335,6634.503,6659.837,True,-372.566
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,8.0,8088.614,0.0,34.592,8084.365,8118.957,True,-4.249
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,16.0,9346.175,0.0,91.282,9438.71,9529.991,True,92.535
js_worker_wasm,heavy_2560x1440_k31_p5,Heavy,16.0,32.0,9208.396,9318.057,121.036,15275.061,15396.097,True,-3251.392
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,-1.0,1.0,4066.656,0.0,21.214,4076.136,4097.35,False,9.48
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,-1.0,4.0,4065.664,0.0,5074.64,7196.684,12271.324,False,3131.02
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,-1.0,8.0,4069.546,0.0,8193.258,13094.943,21288.2,False,9025.397
js_wasm_simd,heavy_2560x1440_k31_p5,Heavy,-1.0,16.0,4070.959,0.0,10135.241,27855.745,37990.985,False,23784.785
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,1.0,4104.68,0.0,20.951,4112.936,4133.887,True,8.256
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,2.0,4070.977,4042.018,30.093,7123.598,7153.691,True,-989.397
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,4.0,4082.216,9176.259,28.32,12251.969,12280.289,True,-1006.506
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,8.0,4087.35,17837.021,40.815,21269.257,21310.072,True,-655.114
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,1.0,16.0,4088.512,34468.054,77.667,38235.392,38313.059,True,-321.174
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,4.0,1.0,4081.956,0.0,19.433,4092.332,4111.765,True,10.377
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,4.0,4.0,6405.293,0.0,26.513,6121.276,6147.789,True,-284.017
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,4.0,8.0,6685.536,6634.011,37.393,11148.938,11186.331,True,-2170.609
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,4.0,16.0,6929.105,14699.189,76.622,19459.927,19536.549,True,-2168.367
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,8.0,1.0,4069.09,0.0,19.578,4075.821,4095.399,True,6.731
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,8.0,4.0,6483.704,0.0,26.619,6144.535,6171.154,True,-339.169
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,8.0,8.0,7033.178,0.0,34.449,6973.858,7008.308,True,-59.319
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,8.0,16.0,7068.258,7057.219,72.066,11875.274,11947.341,True,-2250.202
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,1.0,4081.887,0.0,21.519,4090.187,4111.707,True,8.301
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,4.0,6661.343,0.0,27.505,6795.169,6822.675,True,133.826
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,8.0,7030.464,0.0,36.533,6968.051,7004.583,True,-62.414
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,16.0,8244.138,0.0,88.592,8320.449,8409.041,True,76.31
js_worker_wasm_simd,heavy_2560x1440_k31_p5,Heavy,16.0,32.0,8252.857,8161.334,113.841,13884.099,13997.94,True,-2530.093
